date,외국인_순매수_억
2025-12-17,-322
2025-12-18,-3459
2025-12-19,-7573
2025-12-22,11017
2025-12-23,9551
2025-12-24,5225
2025-12-26,17790
2025-12-29,3337
2025-12-30,-4768
2026-01-02,6309
2026-01-05,21726
2026-01-06,-6184
2026-01-07,12548
2026-01-08,-979
2026-01-09,-16068
2026-01-12,-3512
2026-01-13,-2793
2026-01-14,-3760
2026-01-15,3450
2026-01-16,4350
2026-01-19,5532
2026-01-20,1232
2026-01-21,4394
2026-01-22,-2432
2026-01-23,1438
2026-01-26,-1588
2026-01-27,8448
2026-01-28,4008
2026-01-29,-14897
2026-01-30,-19729
2026-02-02,-25168
2026-02-03,7038
2026-02-04,-9413
2026-02-05,-50108
2026-02-06,-33233
2026-02-09,4320
2026-02-10,1474
2026-02-11,8461
2026-02-12,29954
2026-02-13,-9220
2026-02-19,-9396
2026-02-20,-7420
2026-02-23,-11132
2026-02-24,-2013
2026-02-25,-13082
2026-02-26,-21135
2026-02-27,-70528
2026-03-03,-51487
2026-03-04,2303
2026-03-05,-1446
2026-03-06,-19418
2026-03-09,-31735
2026-03-10,10283
2026-03-11,-2563
2026-03-12,-23831
2026-03-13,-14502
2026-03-16,-8485
2026-03-17,-1740
2026-03-18,8802
2026-03-19,-18760
2026-03-20,-12402
2026-03-23,-36751
2026-03-24,-19863
2026-03-25,-12895
2026-03-26,-29370
2026-03-27,-34286
2026-03-30,-20945
2026-03-31,-38386
2026-04-01,-6411
2026-04-02,-1368
2026-04-03,8035
2026-04-06,-1596
2026-04-07,3704
2026-04-08,19089
2026-04-09,18476
2026-04-10,10641
2026-04-13,-4579
2026-04-14,8276
2026-04-15,4973
2026-04-16,4814
2026-04-17,-19974
2026-04-20,-2338
2026-04-21,11565
2026-04-22,-6762
2026-04-23,-820
2026-04-24,-19496
2026-04-27,8563
2026-04-28,-1843
2026-04-29,-6071
2026-04-30,-14559
2026-05-04,29308
2026-05-06,31085
2026-05-07,-66987
2026-05-08,-52967
2026-05-11,-28147
2026-05-12,-56090
2026-05-13,-37227
2026-05-14,-21450
2026-05-15,-56040
2026-05-18,-36492
2026-05-19,-57242
2026-05-20,-29310
2026-05-21,-2212
2026-05-22,-19221
2026-05-26,-1321
2026-05-27,-2493
2026-05-28,-27414
2026-05-29,-10421
2026-06-01,-28219
2026-06-02,-63035
2026-06-04,-66663
2026-06-05,-27638
2026-06-08,-2644
2026-06-09,-20064
2026-06-10,-27754
2026-06-11,-14640
2026-06-12,22041
2026-06-15,10774
2026-06-16,15353
2026-06-17,-9952
2026-06-18,12776
2026-06-19,-3555
2026-06-22,-25466
2026-06-23,-42047
2026-06-24,-46546
2026-06-25,-8754
2026-06-26,-42906
2026-06-29,-77332
2026-06-30,-37992
2026-07-01,-17028
